Median Income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic,police_killing
51822,13.1,88.1,70.1,27.5,0.4,0.3,1.4,0.0
38333,32.5,80.3,88.6,10.6,0.0,0.0,1.2,0.0
25823,22.6,74.3,87.3,9.4,0.5,0.1,2.4,0.0
84615,2.1,97.7,82.5,13.1,0.2,1.5,3.3,0.0
30757,19.4,71.7,96.2,0.0,1.8,0.0,1.4,0.0
51250,9.2,94.3,98.8,0.0,1.0,0.2,0.7,0.0
124291,2.0,97.6,87.6,7.6,0.2,2.3,1.6,0.0
34712,17.6,74.6,14.1,80.1,1.8,0.2,1.6,0.0
25032,23.2,73.8,25.1,74.3,0.0,0.2,2.0,0.0
25563,41.3,77.3,12.6,85.9,0.0,0.4,1.3,0.0
29583,26.9,69.3,98.6,0.0,1.4,0.0,1.0,0.0
46042,13.7,89.2,98.5,0.3,0.1,0.4,0.2,0.0
34408,29.0,71.4,86.0,5.4,0.3,0.0,8.4,0.0
44750,19.0,90.4,98.5,0.3,0.4,0.0,1.4,0.0
29306,20.3,71.3,75.8,14.8,1.7,0.3,4.9,0.0
30446,46.4,75.0,39.4,55.2,0.4,0.2,7.2,0.0
52713,11.1,85.6,90.4,7.4,0.5,0.2,1.3,0.0
61626,12.7,93.5,74.6,17.3,0.2,2.2,7.3,1.0
77146,6.0,95.2,75.1,14.8,0.2,5.1,6.0,1.0
34464,10.2,66.3,91.7,1.3,3.9,0.0,3.1,0.0
42172,14.3,86.5,70.0,27.2,0.3,0.5,2.0,0.0
42063,16.3,79.3,73.0,25.0,0.6,0.2,1.2,0.0
48775,18.2,90.2,60.3,31.2,0.6,2.4,5.8,1.0
19732,46.0,75.3,29.1,69.6,0.5,0.0,2.2,0.0
38542,14.7,70.6,91.5,0.3,4.5,0.0,3.4,0.0
32692,15.4,80.5,93.2,0.6,4.0,0.0,0.1,0.0
96346,4.4,97.2,95.7,1.5,0.2,1.9,0.9,0.0
47351,20.5,87.4,56.3,35.4,0.3,1.4,7.8,0.0
50737,0.0,77.0,96.1,1.6,0.5,0.0,1.4,0.0
31232,24.7,85.8,54.9,42.9,0.7,0.4,1.4,1.0
36719,26.1,67.1,68.2,28.9,0.5,0.5,1.9,0.0
38903,31.2,89.0,68.7,26.8,0.5,1.3,2.3,0.0
39695,22.3,85.3,81.3,13.4,0.3,0.7,4.4,0.0
38500,24.9,77.8,77.8,17.7,0.1,0.1,7.0,0.0
23672,0.0,67.3,81.4,0.2,0.8,0.0,17.2,0.0
38542,25.3,66.4,100.0,0.0,0.0,0.0,0.0,0.0
29688,29.8,71.3,68.2,19.8,0.0,0.0,11.5,0.0
35054,10.9,82.6,83.4,14.3,0.0,0.2,0.9,0.0
55313,17.7,87.1,94.0,3.2,0.3,0.5,2.4,0.0
76771,6.3,89.4,96.2,1.8,0.4,0.6,0.8,0.0
37109,16.2,75.9,49.9,46.0,0.3,0.1,4.0,0.0
23571,30.2,69.5,95.6,0.2,2.0,0.6,0.9,0.0
32713,26.0,84.4,86.5,9.8,0.7,0.3,2.7,0.0
25666,24.8,69.7,29.3,68.8,0.1,0.4,1.9,0.0
46250,13.5,92.3,86.7,0.0,3.5,0.0,0.0,0.0
88594,2.2,95.7,93.9,4.2,0.1,0.7,0.6,0.0
25220,29.8,77.2,39.3,57.5,0.2,0.1,2.4,0.0
31875,24.6,85.1,94.4,1.1,0.0,0.0,0.0,0.0
52689,15.4,87.2,78.7,14.3,0.4,0.6,6.6,0.0
41397,18.0,80.5,96.5,1.1,0.0,0.0,1.3,0.0
22500,25.6,71.9,43.3,53.2,0.3,0.1,0.5,0.0
47365,6.7,99.3,78.6,20.1,0.2,0.0,0.2,0.0
65769,11.1,91.3,75.3,12.4,0.5,1.5,11.0,0.0
35521,21.3,87.1,98.4,0.0,0.5,0.1,0.8,0.0
44286,4.8,77.3,88.9,0.9,1.7,0.0,4.3,0.0
55605,12.7,87.5,73.3,23.4,0.5,0.4,1.9,0.0
29722,25.1,87.1,51.1,46.7,0.1,0.2,2.0,0.0
31472,12.9,77.8,58.6,36.9,0.3,0.2,4.6,0.0
26163,30.6,71.0,22.0,61.0,1.1,0.0,19.7,0.0
28750,44.9,67.2,6.7,92.2,0.0,0.0,0.2,0.0
49107,7.7,81.8,96.5,0.7,0.7,0.6,1.8,0.0
14426,55.2,86.0,34.6,63.9,0.1,0.3,0.7,0.0
34688,31.8,89.5,58.9,37.2,0.0,2.8,1.1,0.0
36250,14.9,82.2,72.7,25.2,0.2,0.0,1.4,0.0
57143,14.2,81.9,97.0,0.6,0.8,0.0,2.4,0.0
51058,14.9,82.3,95.9,2.3,0.4,0.0,1.2,0.0
34286,11.8,65.7,49.3,44.1,0.8,0.0,7.9,0.0
39375,3.4,90.2,76.5,20.9,0.0,0.0,0.9,0.0
48000,20.0,85.3,84.4,9.4,0.7,0.6,5.1,0.0
29844,20.3,77.9,62.6,29.6,0.3,5.5,1.9,0.0
33452,27.9,74.8,98.0,0.0,0.3,0.0,0.9,0.0
15588,62.6,60.3,55.8,39.3,0.0,0.6,2.8,0.0
48625,13.7,95.8,37.0,55.5,4.2,0.4,2.9,0.0
31500,22.5,75.5,67.7,29.8,0.4,0.0,0.4,0.0
92960,6.7,95.7,74.0,14.6,0.5,7.0,4.3,0.0
38750,14.9,70.6,88.9,8.6,0.6,0.9,3.1,0.0
